imdb_id,original_title,primary_genre,budget,revenue,release_date,averageRating,numVotes
tt0103994,Como agua para chocolate,Drama,2000000.0,21665468.0,1992-04-16,7.1,20481
tt0110322,Legends of the Fall,Adventure,30000000.0,160638883.0,1994-12-16,7.5,199255
tt0110391,Love Affair,Drama,60000000.0,,1994-10-21,6.0,5412
tt0113691,Losing Isaiah,Drama,17000000.0,7603766.0,1995-03-17,6.4,6889
tt0109836,Frankenstein,Drama,45000000.0,112006296.0,1994-11-04,6.3,63736
tt0110538,Mixed Nuts,Comedy,15000000.0,,1994-12-21,5.4,14801
tt0113808,Miami Rhapsody,Comedy,6.0,5.0,1995-01-27,5.4,3720
tt0113896,My Family,Comedy,5500000.0,,1995-05-03,7.3,4838
tt0110638,Nell,Drama,31000000.0,106683817.0,1994-12-23,6.5,32461
tt0106402,Beyond Bedlam,Horror,4800000.0,,1994-04-22,3.2,579
tt0110632,Natural Born Killers,Crime,34000000.0,50282766.0,1994-08-25,7.2,267353
tt0114069,Outbreak,Action,50000000.0,189859560.0,1995-03-10,6.6,145509
tt0110413,Léon,Thriller,16000000.0,45284974.0,1994-09-14,8.5,1348172
tt0114113,The Perez Family,Comedy,11000000.0,2832826.0,1995-05-12,6.0,2612
tt0110912,Pulp Fiction,Thriller,8000000.0,213928762.0,1994-09-10,8.8,2428889
tt0105652,Pushing Hands,Comedy,400000.0,152322.0,1992-02-01,7.2,5297
tt0114214,The Quick and the Dead,Action,32000000.0,18552460.0,1995-02-09,6.5,113081
tt0114296,Roommates,Drama,22000000.0,12400000.0,1995-03-01,6.4,2150
tt0110907,Prêt-à-Porter,Drama,15000000.0,11300653.0,1994-12-23,5.2,16683
tt0111333,The Swan Princess,Animation,35000000.0,9771658.0,1994-11-18,6.5,29224
tt0111255,The Specialist,Action,45000000.0,170362582.0,1994-10-07,5.6,73495
tt0111282,Stargate,Action,55000000.0,196567262.0,1994-10-27,7.0,218743
tt0111070,The Santa Clause,Fantasy,22000000.0,189833357.0,1994-11-10,6.6,147481
tt0111161,The Shawshank Redemption,Drama,25000000.0,28341469.0,1994-09-23,9.3,3178825
tt0111309,The Sum of Us,Comedy,32.0,,1994-07-12,7.3,6212
tt0114614,Tank Girl,Action,25000000.0,4064495.0,1995-03-31,5.4,37656
tt0111280,Star Trek: Generations,Science Fiction,38000000.0,120000000.0,1994-11-17,6.6,91190
tt0114609,Tales from the Hood,Crime,6000000.0,12000000.0,1995-05-24,6.6,11143
tt0114788,The Underneath,Thriller,6500000.0,,1995-04-28,6.1,4123
tt0108550,What's Eating Gilbert Grape,Romance,11000000.0,10032765.0,1993-12-17,7.7,269514
tt0114857,Virtuosity,Action,30000000.0,24048000.0,1995-08-04,5.5,34767
tt0114924,While You Were Sleeping,Comedy,17000000.0,182057016.0,1995-04-21,6.8,126588
tt0110598,Muriel's Wedding,Drama,3000000.0,15119639.0,1994-09-29,7.3,45110
tt0109040,Ace Ventura: Pet Detective,Comedy,15000000.0,107217396.0,1994-02-04,6.9,353073
tt0104779,Bitter Moon,Thriller,5000000.0,1862805.0,1992-09-02,7.2,46141
tt0109444,Clear and Present Danger,Action,62000000.0,215887717.0,1994-08-03,6.9,116156
tt0109446,The Client,Drama,45000000.0,117615211.0,1994-07-20,6.7,85142
tt0109506,The Crow,Fantasy,15000000.0,94000000.0,1994-05-11,7.5,230506
tt0109813,The Flintstones,Fantasy,46000000.0,341631208.0,1994-05-26,5.1,91895
tt0109830,Forrest Gump,Comedy,55000000.0,677945399.0,1994-07-06,8.8,2489317
tt0109831,Four Weddings and a Funeral,Comedy,6000000.0,254700832.0,1994-03-09,7.1,181718
tt0110093,I Love Trouble,Action,45000000.0,61947267.0,1994-06-29,5.4,13281
tt0110357,The Lion King,Family,45000000.0,788241776.0,1994-06-23,8.5,1255325
tt0107426,Little Buddha,Drama,35000000.0,4858139.0,1993-12-01,6.2,19198
tt0111686,New Nightmare,Horror,14000000.0,18090181.0,1994-10-13,6.4,69586
tt0110475,The Mask,Romance,23000000.0,351583407.0,1994-07-29,7.0,469098
tt0110622,The Naked Gun 33⅓: The Final Insult,Comedy,30000000.0,51132598.0,1994-03-18,6.5,127912
tt0110771,The Paper,Comedy,6000000.0,,1994-03-18,6.7,17346
tt0110950,Reality Bites,Drama,11500000.0,20079850.0,1994-02-18,6.6,57400
tt0105226,Red Rock West,Crime,8000000.0,2000000.0,1993-07-08,7.0,28126
tt0110989,Ri¢hie Ri¢h,Comedy,40000000.0,,1994-12-19,5.5,79029
tt0110997,The River Wild,Action,45000000.0,,1994-09-30,6.5,53924
tt0111257,Speed,Action,30000000.0,350448145.0,1994-06-09,7.3,422426
tt0111438,Timecop,Thriller,27000000.0,101646581.0,1994-09-15,6.0,69684
tt0111503,True Lies,Action,115000000.0,378882411.0,1994-07-14,7.3,301250
tt0111756,Wyatt Earp,Drama,63000000.0,25052000.0,1994-06-24,6.7,59372
